Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.215,2.2897419755029675,1.0342271016358042,2.542645916330337,131.19255137026758,59.256847981779224,145.68287980190217,-13.727,-59.98,10.3,-16.331,113.725,20.1
0.213,2.2898829835214176,1.0342762957319,2.5427671099146085,131.20063053460225,59.25966659586247,145.68982368278498,-13.722,-59.98,10.3,-16.331,113.725,20.1
0.211,2.2899400314143863,1.0344193536298492,2.542791308876013,131.20389913809947,59.26786320964097,145.69121018114205,-13.716,-59.974,10.3,-16.331,113.725,20.1
0.209,2.2893697666542554,1.0350006622749084,2.542143815267994,131.17122537413894,59.301169741597334,145.65411153014085,-13.711,-59.936,10.3,-16.331,113.725,20.1
0.208,2.289539141440357,1.0350597375549913,2.54228945688218,131.18092983453852,59.30455450581963,145.6624561799552,-13.705,-59.936,10.3,-16.331,113.725,20.1
0.207,2.289539141440357,1.0350597375549913,2.54228945688218,131.18092983453852,59.30455450581963,145.6624561799552,-13.705,-59.936,10.3,-16.331,113.725,20.1
0.207,2.2894267041795393,1.0351437422541,2.5421679599633284,131.17448765403364,59.309367620537834,145.65549491928115,-13.705,-59.93,10.3,-16.331,113.725,20.1
0.207,2.2888549988732008,1.0357248939335433,2.5415191402213466,131.1417313528552,59.34266515902687,145.61832028640083,-13.7,-59.892,10.3,-16.331,113.725,20.1
0.208,2.288742306156428,1.0358088561768053,2.5413973942717694,131.13527453580224,59.347475841204236,145.61134475731726,-13.7,-59.886,10.3,-16.331,113.725,20.1
0.208,2.288742306156428,1.0358088561768053,2.5413973942717694,131.13527453580224,59.347475841204236,145.61134475731726,-13.7,-59.886,10.3,-16.331,113.725,20.1
0.208,2.2886483680446075,1.035878819368099,2.541295911958408,131.12989227845952,59.35148443678663,145.60553024906642,-13.7,-59.881,10.3,-16.331,113.725,20.1
0.208,2.2879336201046887,1.0364103806297984,2.5405238328108726,131.0889402380865,59.38194065363466,145.5612933724626,-13.7,-59.843,10.3,-16.331,113.725,20.1
0.207,2.287879587493606,1.0363610249499988,2.5404022352127766,131.0858443975154,59.37911278148714,145.55432634329276,-13.705,-59.843,10.3,-16.326,113.725,20.1
0.207,2.3628450698573102,1.046189269668147,2.554304323316588,135.38105014611804,59.94222972385877,146.35085731806015,-13.705,-59.837,12.7,-16.326,113.725,18.3
0.206,2.3626710440245904,1.0461312372852802,2.554153702863744,135.37107920037695,59.93890471324542,146.34222740180385,-13.711,-59.837,12.7,-16.326,113.725,18.3
0.206,2.361812349905773,1.0466189849649523,2.5532531764420843,135.321879651476,59.96685059675793,146.29063103850274,-13.716,-59.799,12.7,-16.326,113.725,18.3
